op_id,device_id,patient_id,operation,algo,payload_bytes,duration_ms,result
W000_256,W000,P000,encrypt,AES-GCM-128,256,0.104,ok
W000_512,W000,P000,encrypt,AES-GCM-128,512,0.044,ok
W000_1024,W000,P000,encrypt,AES-GCM-128,1024,0.037,ok
W000_2048,W000,P000,encrypt,AES-GCM-128,2048,0.038,ok
W000_4096,W000,P000,encrypt,AES-GCM-128,4096,0.044,ok
W001_256,W001,P001,encrypt,AES-GCM-128,256,0.036,ok
W001_512,W001,P001,encrypt,AES-GCM-128,512,0.032,ok
W001_1024,W001,P001,encrypt,AES-GCM-128,1024,0.034,ok
W001_2048,W001,P001,encrypt,AES-GCM-128,2048,0.036,ok
W001_4096,W001,P001,encrypt,AES-GCM-128,4096,0.041,ok
W002_256,W002,P002,encrypt,AES-GCM-128,256,0.029,ok
W002_512,W002,P002,encrypt,AES-GCM-128,512,0.032,ok
W002_1024,W002,P002,encrypt,AES-GCM-128,1024,0.032,ok
W002_2048,W002,P002,encrypt,AES-GCM-128,2048,0.034,ok
W002_4096,W002,P002,encrypt,AES-GCM-128,4096,0.038,ok
W003_256,W003,P003,encrypt,AES-GCM-128,256,0.028,ok
W003_512,W003,P003,encrypt,AES-GCM-128,512,0.03,ok
W003_1024,W003,P003,encrypt,AES-GCM-128,1024,0.029,ok
W003_2048,W003,P003,encrypt,AES-GCM-128,2048,0.032,ok
W003_4096,W003,P003,encrypt,AES-GCM-128,4096,0.038,ok
W004_256,W004,P004,encrypt,AES-GCM-128,256,0.026,ok
W004_512,W004,P004,encrypt,AES-GCM-128,512,0.029,ok
W004_1024,W004,P004,encrypt,AES-GCM-128,1024,0.03,ok
W004_2048,W004,P004,encrypt,AES-GCM-128,2048,0.033,ok
W004_4096,W004,P004,encrypt,AES-GCM-128,4096,0.038,ok
W005_256,W005,P005,encrypt,AES-GCM-128,256,0.027,ok
W005_512,W005,P005,encrypt,AES-GCM-128,512,0.045,ok
W005_1024,W005,P005,encrypt,AES-GCM-128,1024,0.033,ok
W005_2048,W005,P005,encrypt,AES-GCM-128,2048,0.044,ok
W005_4096,W005,P005,encrypt,AES-GCM-128,4096,0.041,ok
W006_256,W006,P006,encrypt,AES-GCM-128,256,0.027,ok
W006_512,W006,P006,encrypt,AES-GCM-128,512,0.029,ok
W006_1024,W006,P006,encrypt,AES-GCM-128,1024,0.03,ok
W006_2048,W006,P006,encrypt,AES-GCM-128,2048,0.032,ok
W006_4096,W006,P006,encrypt,AES-GCM-128,4096,0.037,ok
W007_256,W007,P007,encrypt,AES-GCM-128,256,0.028,ok
W007_512,W007,P007,encrypt,AES-GCM-128,512,0.028,ok
W007_1024,W007,P007,encrypt,AES-GCM-128,1024,0.029,ok
W007_2048,W007,P007,encrypt,AES-GCM-128,2048,0.043,ok
W007_4096,W007,P007,encrypt,AES-GCM-128,4096,0.041,ok
W008_256,W008,P008,encrypt,AES-GCM-128,256,0.027,ok
W008_512,W008,P008,encrypt,AES-GCM-128,512,0.028,ok
W008_1024,W008,P008,encrypt,AES-GCM-128,1024,0.029,ok
W008_2048,W008,P008,encrypt,AES-GCM-128,2048,0.032,ok
W008_4096,W008,P008,encrypt,AES-GCM-128,4096,0.037,ok
W009_256,W009,P009,encrypt,AES-GCM-128,256,0.026,ok
W009_512,W009,P009,encrypt,AES-GCM-128,512,0.03,ok
W009_1024,W009,P009,encrypt,AES-GCM-128,1024,0.03,ok
W009_2048,W009,P009,encrypt,AES-GCM-128,2048,0.033,ok
W009_4096,W009,P009,encrypt,AES-GCM-128,4096,0.041,ok
W010_256,W010,P010,encrypt,AES-GCM-128,256,0.027,ok
W010_512,W010,P010,encrypt,AES-GCM-128,512,0.028,ok
W010_1024,W010,P010,encrypt,AES-GCM-128,1024,0.029,ok
W010_2048,W010,P010,encrypt,AES-GCM-128,2048,0.032,ok
W010_4096,W010,P010,encrypt,AES-GCM-128,4096,0.037,ok
W011_256,W011,P011,encrypt,AES-GCM-128,256,0.027,ok
W011_512,W011,P011,encrypt,AES-GCM-128,512,0.029,ok
W011_1024,W011,P011,encrypt,AES-GCM-128,1024,0.03,ok
W011_2048,W011,P011,encrypt,AES-GCM-128,2048,0.042,ok
W011_4096,W011,P011,encrypt,AES-GCM-128,4096,0.04,ok
W012_256,W012,P012,encrypt,AES-GCM-128,256,0.027,ok
W012_512,W012,P012,encrypt,AES-GCM-128,512,0.028,ok
W012_1024,W012,P012,encrypt,AES-GCM-128,1024,0.029,ok
W012_2048,W012,P012,encrypt,AES-GCM-128,2048,0.033,ok
W012_4096,W012,P012,encrypt,AES-GCM-128,4096,0.037,ok
W013_256,W013,P013,encrypt,AES-GCM-128,256,0.027,ok
W013_512,W013,P013,encrypt,AES-GCM-128,512,0.028,ok
W013_1024,W013,P013,encrypt,AES-GCM-128,1024,0.029,ok
W013_2048,W013,P013,encrypt,AES-GCM-128,2048,0.041,ok
W013_4096,W013,P013,encrypt,AES-GCM-128,4096,0.037,ok
W014_256,W014,P014,encrypt,AES-GCM-128,256,0.026,ok
W014_512,W014,P014,encrypt,AES-GCM-128,512,0.028,ok
W014_1024,W014,P014,encrypt,AES-GCM-128,1024,0.029,ok
W014_2048,W014,P014,encrypt,AES-GCM-128,2048,0.039,ok
W014_4096,W014,P014,encrypt,AES-GCM-128,4096,0.038,ok
W015_256,W015,P015,encrypt,AES-GCM-128,256,0.045,ok
W015_512,W015,P015,encrypt,AES-GCM-128,512,0.028,ok
W015_1024,W015,P015,encrypt,AES-GCM-128,1024,0.029,ok
W015_2048,W015,P015,encrypt,AES-GCM-128,2048,0.031,ok
W015_4096,W015,P015,encrypt,AES-GCM-128,4096,0.038,ok
W016_256,W016,P016,encrypt,AES-GCM-128,256,0.026,ok
W016_512,W016,P016,encrypt,AES-GCM-128,512,0.028,ok
W016_1024,W016,P016,encrypt,AES-GCM-128,1024,0.029,ok
W016_2048,W016,P016,encrypt,AES-GCM-128,2048,0.031,ok
W016_4096,W016,P016,encrypt,AES-GCM-128,4096,0.037,ok
W017_256,W017,P017,encrypt,AES-GCM-128,256,0.027,ok
W017_512,W017,P017,encrypt,AES-GCM-128,512,0.039,ok
W017_1024,W017,P017,encrypt,AES-GCM-128,1024,0.03,ok
W017_2048,W017,P017,encrypt,AES-GCM-128,2048,0.032,ok
W017_4096,W017,P017,encrypt,AES-GCM-128,4096,0.038,ok
W018_256,W018,P018,encrypt,AES-GCM-128,256,0.027,ok
W018_512,W018,P018,encrypt,AES-GCM-128,512,0.028,ok
W018_1024,W018,P018,encrypt,AES-GCM-128,1024,0.03,ok
W018_2048,W018,P018,encrypt,AES-GCM-128,2048,0.033,ok
W018_4096,W018,P018,encrypt,AES-GCM-128,4096,0.037,ok
W019_256,W019,P019,encrypt,AES-GCM-128,256,0.027,ok
W019_512,W019,P019,encrypt,AES-GCM-128,512,0.028,ok
W019_1024,W019,P019,encrypt,AES-GCM-128,1024,0.029,ok
W019_2048,W019,P019,encrypt,AES-GCM-128,2048,0.033,ok
W019_4096,W019,P019,encrypt,AES-GCM-128,4096,0.037,ok
W020_256,W020,P020,encrypt,AES-GCM-128,256,0.026,ok
W020_512,W020,P020,encrypt,AES-GCM-128,512,0.028,ok
W020_1024,W020,P020,encrypt,AES-GCM-128,1024,0.029,ok
W020_2048,W020,P020,encrypt,AES-GCM-128,2048,0.035,ok
W020_4096,W020,P020,encrypt,AES-GCM-128,4096,0.038,ok
W021_256,W021,P021,encrypt,AES-GCM-128,256,0.026,ok
W021_512,W021,P021,encrypt,AES-GCM-128,512,0.027,ok
W021_1024,W021,P021,encrypt,AES-GCM-128,1024,0.029,ok
W021_2048,W021,P021,encrypt,AES-GCM-128,2048,0.032,ok
W021_4096,W021,P021,encrypt,AES-GCM-128,4096,0.038,ok
W022_256,W022,P022,encrypt,AES-GCM-128,256,0.027,ok
W022_512,W022,P022,encrypt,AES-GCM-128,512,0.027,ok
W022_1024,W022,P022,encrypt,AES-GCM-128,1024,0.029,ok
W022_2048,W022,P022,encrypt,AES-GCM-128,2048,0.032,ok
W022_4096,W022,P022,encrypt,AES-GCM-128,4096,0.036,ok
W023_256,W023,P023,encrypt,AES-GCM-128,256,0.045,ok
W023_512,W023,P023,encrypt,AES-GCM-128,512,0.028,ok
W023_1024,W023,P023,encrypt,AES-GCM-128,1024,0.029,ok
W023_2048,W023,P023,encrypt,AES-GCM-128,2048,0.043,ok
W023_4096,W023,P023,encrypt,AES-GCM-128,4096,0.037,ok
W024_256,W024,P024,encrypt,AES-GCM-128,256,0.027,ok
W024_512,W024,P024,encrypt,AES-GCM-128,512,0.028,ok
W024_1024,W024,P024,encrypt,AES-GCM-128,1024,0.029,ok
W024_2048,W024,P024,encrypt,AES-GCM-128,2048,0.032,ok
W024_4096,W024,P024,encrypt,AES-GCM-128,4096,0.038,ok
W025_256,W025,P025,encrypt,AES-GCM-128,256,0.04,ok
W025_512,W025,P025,encrypt,AES-GCM-128,512,0.028,ok
W025_1024,W025,P025,encrypt,AES-GCM-128,1024,0.029,ok
W025_2048,W025,P025,encrypt,AES-GCM-128,2048,0.032,ok
W025_4096,W025,P025,encrypt,AES-GCM-128,4096,0.037,ok
W026_256,W026,P026,encrypt,AES-GCM-128,256,0.026,ok
W026_512,W026,P026,encrypt,AES-GCM-128,512,0.028,ok
W026_1024,W026,P026,encrypt,AES-GCM-128,1024,0.029,ok
W026_2048,W026,P026,encrypt,AES-GCM-128,2048,0.031,ok
W026_4096,W026,P026,encrypt,AES-GCM-128,4096,0.037,ok
W027_256,W027,P027,encrypt,AES-GCM-128,256,0.026,ok
W027_512,W027,P027,encrypt,AES-GCM-128,512,0.028,ok
W027_1024,W027,P027,encrypt,AES-GCM-128,1024,0.029,ok
W027_2048,W027,P027,encrypt,AES-GCM-128,2048,0.032,ok
W027_4096,W027,P027,encrypt,AES-GCM-128,4096,0.042,ok
W028_256,W028,P028,encrypt,AES-GCM-128,256,0.027,ok
W028_512,W028,P028,encrypt,AES-GCM-128,512,0.027,ok
W028_1024,W028,P028,encrypt,AES-GCM-128,1024,0.029,ok
W028_2048,W028,P028,encrypt,AES-GCM-128,2048,0.035,ok
W028_4096,W028,P028,encrypt,AES-GCM-128,4096,0.037,ok
W029_256,W029,P029,encrypt,AES-GCM-128,256,0.026,ok
W029_512,W029,P029,encrypt,AES-GCM-128,512,0.028,ok
W029_1024,W029,P029,encrypt,AES-GCM-128,1024,0.029,ok
W029_2048,W029,P029,encrypt,AES-GCM-128,2048,0.032,ok
W029_4096,W029,P029,encrypt,AES-GCM-128,4096,0.038,ok
W030_256,W030,P030,encrypt,AES-GCM-128,256,0.025,ok
W030_512,W030,P030,encrypt,AES-GCM-128,512,0.028,ok
W030_1024,W030,P030,encrypt,AES-GCM-128,1024,0.029,ok
W030_2048,W030,P030,encrypt,AES-GCM-128,2048,0.032,ok
W030_4096,W030,P030,encrypt,AES-GCM-128,4096,0.038,ok
W031_256,W031,P031,encrypt,AES-GCM-128,256,0.026,ok
W031_512,W031,P031,encrypt,AES-GCM-128,512,0.029,ok
W031_1024,W031,P031,encrypt,AES-GCM-128,1024,0.029,ok
W031_2048,W031,P031,encrypt,AES-GCM-128,2048,0.032,ok
W031_4096,W031,P031,encrypt,AES-GCM-128,4096,0.038,ok
W032_256,W032,P032,encrypt,AES-GCM-128,256,0.025,ok
W032_512,W032,P032,encrypt,AES-GCM-128,512,0.027,ok
W032_1024,W032,P032,encrypt,AES-GCM-128,1024,0.029,ok
W032_2048,W032,P032,encrypt,AES-GCM-128,2048,0.031,ok
W032_4096,W032,P032,encrypt,AES-GCM-128,4096,0.037,ok
W033_256,W033,P033,encrypt,AES-GCM-128,256,0.026,ok
W033_512,W033,P033,encrypt,AES-GCM-128,512,0.028,ok
W033_1024,W033,P033,encrypt,AES-GCM-128,1024,0.029,ok
W033_2048,W033,P033,encrypt,AES-GCM-128,2048,0.032,ok
W033_4096,W033,P033,encrypt,AES-GCM-128,4096,0.038,ok
W034_256,W034,P034,encrypt,AES-GCM-128,256,0.026,ok
W034_512,W034,P034,encrypt,AES-GCM-128,512,0.028,ok
W034_1024,W034,P034,encrypt,AES-GCM-128,1024,0.029,ok
W034_2048,W034,P034,encrypt,AES-GCM-128,2048,0.032,ok
W034_4096,W034,P034,encrypt,AES-GCM-128,4096,0.037,ok
W035_256,W035,P035,encrypt,AES-GCM-128,256,0.026,ok
W035_512,W035,P035,encrypt,AES-GCM-128,512,0.028,ok
W035_1024,W035,P035,encrypt,AES-GCM-128,1024,0.034,ok
W035_2048,W035,P035,encrypt,AES-GCM-128,2048,0.032,ok
W035_4096,W035,P035,encrypt,AES-GCM-128,4096,0.038,ok
W036_256,W036,P036,encrypt,AES-GCM-128,256,0.026,ok
W036_512,W036,P036,encrypt,AES-GCM-128,512,0.028,ok
W036_1024,W036,P036,encrypt,AES-GCM-128,1024,0.03,ok
W036_2048,W036,P036,encrypt,AES-GCM-128,2048,0.031,ok
W036_4096,W036,P036,encrypt,AES-GCM-128,4096,0.038,ok
W037_256,W037,P037,encrypt,AES-GCM-128,256,0.028,ok
W037_512,W037,P037,encrypt,AES-GCM-128,512,0.028,ok
W037_1024,W037,P037,encrypt,AES-GCM-128,1024,0.029,ok
W037_2048,W037,P037,encrypt,AES-GCM-128,2048,0.032,ok
W037_4096,W037,P037,encrypt,AES-GCM-128,4096,0.038,ok
W038_256,W038,P038,encrypt,AES-GCM-128,256,0.026,ok
W038_512,W038,P038,encrypt,AES-GCM-128,512,0.028,ok
W038_1024,W038,P038,encrypt,AES-GCM-128,1024,0.029,ok
W038_2048,W038,P038,encrypt,AES-GCM-128,2048,0.032,ok
W038_4096,W038,P038,encrypt,AES-GCM-128,4096,0.038,ok
W039_256,W039,P039,encrypt,AES-GCM-128,256,0.026,ok
W039_512,W039,P039,encrypt,AES-GCM-128,512,0.028,ok
W039_1024,W039,P039,encrypt,AES-GCM-128,1024,0.029,ok
W039_2048,W039,P039,encrypt,AES-GCM-128,2048,0.032,ok
W039_4096,W039,P039,encrypt,AES-GCM-128,4096,0.038,ok
W040_256,W040,P040,encrypt,AES-GCM-128,256,0.025,ok
W040_512,W040,P040,encrypt,AES-GCM-128,512,0.028,ok
W040_1024,W040,P040,encrypt,AES-GCM-128,1024,0.029,ok
W040_2048,W040,P040,encrypt,AES-GCM-128,2048,0.032,ok
W040_4096,W040,P040,encrypt,AES-GCM-128,4096,0.037,ok
W041_256,W041,P041,encrypt,AES-GCM-128,256,0.025,ok
W041_512,W041,P041,encrypt,AES-GCM-128,512,0.028,ok
W041_1024,W041,P041,encrypt,AES-GCM-128,1024,0.029,ok
W041_2048,W041,P041,encrypt,AES-GCM-128,2048,0.031,ok
W041_4096,W041,P041,encrypt,AES-GCM-128,4096,0.045,ok
W042_256,W042,P042,encrypt,AES-GCM-128,256,0.026,ok
W042_512,W042,P042,encrypt,AES-GCM-128,512,0.028,ok
W042_1024,W042,P042,encrypt,AES-GCM-128,1024,0.029,ok
W042_2048,W042,P042,encrypt,AES-GCM-128,2048,0.032,ok
W042_4096,W042,P042,encrypt,AES-GCM-128,4096,0.037,ok
W043_256,W043,P043,encrypt,AES-GCM-128,256,0.027,ok
W043_512,W043,P043,encrypt,AES-GCM-128,512,0.05,ok
W043_1024,W043,P043,encrypt,AES-GCM-128,1024,0.029,ok
W043_2048,W043,P043,encrypt,AES-GCM-128,2048,0.032,ok
W043_4096,W043,P043,encrypt,AES-GCM-128,4096,0.044,ok
W044_256,W044,P044,encrypt,AES-GCM-128,256,0.027,ok
W044_512,W044,P044,encrypt,AES-GCM-128,512,0.028,ok
W044_1024,W044,P044,encrypt,AES-GCM-128,1024,0.029,ok
W044_2048,W044,P044,encrypt,AES-GCM-128,2048,0.037,ok
W044_4096,W044,P044,encrypt,AES-GCM-128,4096,0.054,ok
W045_256,W045,P045,encrypt,AES-GCM-128,256,0.046,ok
W045_512,W045,P045,encrypt,AES-GCM-128,512,0.029,ok
W045_1024,W045,P045,encrypt,AES-GCM-128,1024,0.031,ok
W045_2048,W045,P045,encrypt,AES-GCM-128,2048,0.045,ok
W045_4096,W045,P045,encrypt,AES-GCM-128,4096,0.038,ok
W046_256,W046,P046,encrypt,AES-GCM-128,256,0.026,ok
W046_512,W046,P046,encrypt,AES-GCM-128,512,0.036,ok
W046_1024,W046,P046,encrypt,AES-GCM-128,1024,0.029,ok
W046_2048,W046,P046,encrypt,AES-GCM-128,2048,0.031,ok
W046_4096,W046,P046,encrypt,AES-GCM-128,4096,0.037,ok
W047_256,W047,P047,encrypt,AES-GCM-128,256,0.044,ok
W047_512,W047,P047,encrypt,AES-GCM-128,512,0.028,ok
W047_1024,W047,P047,encrypt,AES-GCM-128,1024,0.03,ok
W047_2048,W047,P047,encrypt,AES-GCM-128,2048,0.031,ok
W047_4096,W047,P047,encrypt,AES-GCM-128,4096,0.038,ok
W048_256,W048,P048,encrypt,AES-GCM-128,256,0.026,ok
W048_512,W048,P048,encrypt,AES-GCM-128,512,0.027,ok
W048_1024,W048,P048,encrypt,AES-GCM-128,1024,0.029,ok
W048_2048,W048,P048,encrypt,AES-GCM-128,2048,0.032,ok
W048_4096,W048,P048,encrypt,AES-GCM-128,4096,0.037,ok
W049_256,W049,P049,encrypt,AES-GCM-128,256,0.043,ok
W049_512,W049,P049,encrypt,AES-GCM-128,512,0.028,ok
W049_1024,W049,P049,encrypt,AES-GCM-128,1024,0.03,ok
W049_2048,W049,P049,encrypt,AES-GCM-128,2048,0.032,ok
W049_4096,W049,P049,encrypt,AES-GCM-128,4096,0.041,ok
W050_256,W050,P050,encrypt,AES-GCM-128,256,0.027,ok
W050_512,W050,P050,encrypt,AES-GCM-128,512,0.029,ok
W050_1024,W050,P050,encrypt,AES-GCM-128,1024,0.029,ok
W050_2048,W050,P050,encrypt,AES-GCM-128,2048,0.032,ok
W050_4096,W050,P050,encrypt,AES-GCM-128,4096,0.038,ok
W051_256,W051,P051,encrypt,AES-GCM-128,256,0.026,ok
W051_512,W051,P051,encrypt,AES-GCM-128,512,0.028,ok
W051_1024,W051,P051,encrypt,AES-GCM-128,1024,0.03,ok
W051_2048,W051,P051,encrypt,AES-GCM-128,2048,0.031,ok
W051_4096,W051,P051,encrypt,AES-GCM-128,4096,0.038,ok
W052_256,W052,P052,encrypt,AES-GCM-128,256,0.026,ok
W052_512,W052,P052,encrypt,AES-GCM-128,512,0.027,ok
W052_1024,W052,P052,encrypt,AES-GCM-128,1024,0.029,ok
W052_2048,W052,P052,encrypt,AES-GCM-128,2048,0.031,ok
W052_4096,W052,P052,encrypt,AES-GCM-128,4096,0.056,ok
W053_256,W053,P053,encrypt,AES-GCM-128,256,0.026,ok
W053_512,W053,P053,encrypt,AES-GCM-128,512,0.027,ok
W053_1024,W053,P053,encrypt,AES-GCM-128,1024,0.04,ok
W053_2048,W053,P053,encrypt,AES-GCM-128,2048,0.032,ok
W053_4096,W053,P053,encrypt,AES-GCM-128,4096,0.037,ok
W054_256,W054,P054,encrypt,AES-GCM-128,256,0.026,ok
W054_512,W054,P054,encrypt,AES-GCM-128,512,0.035,ok
W054_1024,W054,P054,encrypt,AES-GCM-128,1024,0.03,ok
W054_2048,W054,P054,encrypt,AES-GCM-128,2048,0.032,ok
W054_4096,W054,P054,encrypt,AES-GCM-128,4096,0.052,ok
W055_256,W055,P055,encrypt,AES-GCM-128,256,0.027,ok
W055_512,W055,P055,encrypt,AES-GCM-128,512,0.027,ok
W055_1024,W055,P055,encrypt,AES-GCM-128,1024,0.041,ok
W055_2048,W055,P055,encrypt,AES-GCM-128,2048,0.032,ok
W055_4096,W055,P055,encrypt,AES-GCM-128,4096,0.037,ok
